category,method,path,title,navLabel,url
"","POST","","Create a new application","Create a new application post","https://easyshop-v1.readme.io/reference/applicationcontroller_create"
"","DELETE","","Delete an application","Delete an application del","https://easyshop-v1.readme.io/reference/applicationcontroller_delete"
"","PUT","","Edit an application","Edit an application put","https://easyshop-v1.readme.io/reference/applicationcontroller_edit"
"","POST","","Generate a new token for the given application","Generate a new token for the given application post","https://easyshop-v1.readme.io/reference/applicationcontroller_generatetoken"
"","GET","","Get an application by its id","Get an application by its id get","https://easyshop-v1.readme.io/reference/applicationcontroller_get"
"","GET","","Get the logo of an application its id","Get the logo of an application its id get","https://easyshop-v1.readme.io/reference/applicationcontroller_getlogo"
"","GET","","List all your applications","List all your applications get","https://easyshop-v1.readme.io/reference/applicationcontroller_list"
"Applications","","","Applications","Applications","https://easyshop-v1.readme.io/reference/applications"
"","","","Applications & Access levels","Applications & Access levels","https://easyshop-v1.readme.io/reference/applications-access-levels"
"","GET","","Get your current app token","Get your current app token get","https://easyshop-v1.readme.io/reference/authcheckscontroller_get"
"","GET","","Get the extended list of your permissions","Get the extended list of your permissions get","https://easyshop-v1.readme.io/reference/authcheckscontroller_listpermissions"
"Authentication","","","Authentication","Authentication","https://easyshop-v1.readme.io/reference/authentication"
"","","","Authorization","Authorization","https://easyshop-v1.readme.io/reference/authorization"
"Customers","GET","","Fetch the boards of a company of a given board type","Fetch the boards of a company of a given board type get","https://easyshop-v1.readme.io/reference/boardscontroller_get"
"Applications","","","Companies - Item boards","Companies - Item boards","https://easyshop-v1.readme.io/reference/companies-item-boards"
"Applications","","","Companies - Item families","Companies - Item families","https://easyshop-v1.readme.io/reference/companies-item-families"
"Applications","","","Companies - Items","Companies - Items","https://easyshop-v1.readme.io/reference/companies-items"
"Applications","","","Companies - Price lists","Companies - Price lists","https://easyshop-v1.readme.io/reference/companies-price-lists"
"","GET","","Get a company by its id","Get a company by its id get","https://easyshop-v1.readme.io/reference/companiescontroller_get"
"","","","List all the companies you have access to","Companies","https://easyshop-v1.readme.io/reference/companiescontroller_listcompanies"
"Customers","GET","","List all the item families a given company","List all the item families a given company get","https://easyshop-v1.readme.io/reference/companiesfamiliescontroller_list"
"Customers","GET","","List all the item families a given organisation","List all the item families a given organisation get","https://easyshop-v1.readme.io/reference/companiesfamiliescontroller_list2"
"Customers","POST","","Create a simple item for a given company","Create a simple item for a given company post","https://easyshop-v1.readme.io/reference/companiesitemscontroller_createitem"
"Customers","DELETE","","Delete an item of a company","Delete an item of a company del","https://easyshop-v1.readme.io/reference/companiesitemscontroller_deleteitem"
"Customers","PUT","","Edit an item of a company","Edit an item of a company put","https://easyshop-v1.readme.io/reference/companiesitemscontroller_edititem"
"Customers","GET","","Fetch an item of a company","Fetch an item of a company get","https://easyshop-v1.readme.io/reference/companiesitemscontroller_getitem"
"Customers","GET","","List all the items of a given company","List all the items of a given company get","https://easyshop-v1.readme.io/reference/companiesitemscontroller_listitems"
"Customers","GET","","Fetch the menu of a company","Fetch the menu of a company get","https://easyshop-v1.readme.io/reference/companiesmenucontroller_listitems"
"Customers","GET","","List all the modifier groups of a given company","List all the modifier groups of a given company get","https://easyshop-v1.readme.io/reference/companiesmodifiergroupscontroller_list"
"Customers","POST","","Create a price list","Create a price list post","https://easyshop-v1.readme.io/reference/companiespricescontroller_createpricelist"
"Customers","GET","","List all of prices for a price list and a company","List all of prices for a price list and a company get","https://easyshop-v1.readme.io/reference/companiespricescontroller_getpricelist"
"Customers","GET","","List all of price lists of a company","List all of price lists of a company get","https://easyshop-v1.readme.io/reference/companiespricescontroller_listpricelists"
"Customers","PUT","","Set the price of an item","Set the price of an item put","https://easyshop-v1.readme.io/reference/companiespricescontroller_setprice"
"Customers","PUT","","Set the prices of a list of items","Set the prices of a list of items put","https://easyshop-v1.readme.io/reference/companiespricescontroller_setprices"
"Applications","GET","","Get the company's currency settings","Companies - Company currency","https://easyshop-v1.readme.io/reference/companiessettingscontroller_getsettingcompanycurrency"
"Customers","","","Customer Loyalty","Customer Loyalty","https://easyshop-v1.readme.io/reference/customer-loyalty"
"Customers","","","Customers","Customers","https://easyshop-v1.readme.io/reference/customers"
"Customers","POST","","Create a customer in a store","Create a customer in a store post","https://easyshop-v1.readme.io/reference/customerscontroller_create"
"Customers","DELETE","","Delete a customer of a store","Delete a customer of a store del","https://easyshop-v1.readme.io/reference/customerscontroller_delete"
"Customers","PUT","","Edit a customer of a store","Edit a customer of a store put","https://easyshop-v1.readme.io/reference/customerscontroller_edit"
"Customers","GET","","Fetch a customer of a store","Fetch a customer of a store get","https://easyshop-v1.readme.io/reference/customerscontroller_get"
"Customers","GET","","List of the customers managed by the store","List of the customers managed by the store get","https://easyshop-v1.readme.io/reference/customerscontroller_listdefault"
"Customers","GET","","Fetch a customer's loyalty balance","Fetch a customer&#x27;s loyalty balance get","https://easyshop-v1.readme.io/reference/customersloyaltiescontroller_balanceforgroup"
"Customers","POST","","Add a new loyalty transaction on a given customer","Add a new loyalty transaction on a given customer post","https://easyshop-v1.readme.io/reference/customersloyaltiescontroller_insert"
"Customers","GET","","History of the customer's loyalty (most recent)","History of the customer&#x27;s loyalty (most recent) get","https://easyshop-v1.readme.io/reference/customersloyaltiescontroller_list"
"Customers","GET","","List of customer sales","List of customer sales get","https://easyshop-v1.readme.io/reference/customerssalescontroller_list"
"Customers","","","Frequently Asked Questions","Frequently Asked Questions","https://easyshop-v1.readme.io/reference/faq"
"","","","Introduction","Introduction","https://easyshop-v1.readme.io/reference/introduction"
"Customers","","","Item and item types","Item and item types","https://easyshop-v1.readme.io/reference/items"
"","","","Main resources - Fetching","Main resources - Fetching","https://easyshop-v1.readme.io/reference/main-resources"
"Customers","","","Modifier groups","Modifier groups","https://easyshop-v1.readme.io/reference/modifier-groups"
"","GET","","Fetch the opening hours of a store","Fetch the opening hours of a store get","https://easyshop-v1.readme.io/reference/openinghourscontroller_getstorefromdomain"
"Customers","PUT","","Accept an order","Accept an order put","https://easyshop-v1.readme.io/reference/orders_accept"
"Customers","DELETE","","Cancel an order","Cancel an order del","https://easyshop-v1.readme.io/reference/orders_cancel"
"Customers","POST","","Create a new external order","Create a new external order post","https://easyshop-v1.readme.io/reference/orders_create"
"Customers","GET","","Get an order by its id","Get an order by its id get","https://easyshop-v1.readme.io/reference/orders_get"
"Customers","GET","","Get an order by its id","Get an order by its id get","https://easyshop-v1.readme.io/reference/orders_get_pos"
"Customers","GET","","List of all the orders (from partners)","List of all the orders (from partners) get","https://easyshop-v1.readme.io/reference/orders_list"
"Customers","GET","","List of all the orders (created on the pos)","List of all the orders (created on the pos) get","https://easyshop-v1.readme.io/reference/orders_list_pos"
"Customers","PUT","","Update the status and receipt of an order","Update the status and receipt of an order put","https://easyshop-v1.readme.io/reference/orders_update"
"Customers","","","Orders (external sources)","Orders (external sources)","https://easyshop-v1.readme.io/reference/orders-external-sources"
"Applications","","","Fetch the future order slot of a store","Stores - Order Slots","https://easyshop-v1.readme.io/reference/orderslotscontroller_getfuturestoreorderslot"
"Customers","POST","","Create a new external order requiring a payment","Create a new external order requiring a payment post","https://easyshop-v1.readme.io/reference/orderspaymentscontroller_create"
"Customers","GET","","Fetch the payment gateway parameters","Fetch the payment gateway parameters get","https://easyshop-v1.readme.io/reference/orderspaymentscontroller_getgateway"
"Customers","GET","","Fetch the payment gateways for orders","Fetch the payment gateways for orders get","https://easyshop-v1.readme.io/reference/orderspaymentscontroller_listgateways"
"Applications","","/v1/stores/{store}/orders-with-payments/gateways/{gateway}/orders/{id}/verify","/v1/stores/{store}/orders-with-payments/gateways/{gateway}/orders/{id}/verify","Stores - Orders requiring payments","https://easyshop-v1.readme.io/reference/orderspaymentscontroller_paymenthook"
"Applications","GET","/v1/stores/{store}/orders-with-payments/gateways/{gateway}/orders/{id}/verify","/v1/stores/{store}/orders-with-payments/gateways/{gateway}/orders/{id}/verify","/v1/stores/{store}/orders-with-payments/gateways/{gateway}/orders/{id}/verify get","https://easyshop-v1.readme.io/reference/orderspaymentscontroller_paymenthookget"
"Customers","POST","","Verify the content of an order","Verify the content of an order post","https://easyshop-v1.readme.io/reference/orderspaymentscontroller_verify"
"Applications","","","Organisations - Item families","Organisations - Item families","https://easyshop-v1.readme.io/reference/organisations-item-families"
"","GET","","Get an organisation by its id","Get an organisation by its id get","https://easyshop-v1.readme.io/reference/organisationscontroller_get"
"","","","List all the organisations you have access to","Organisations","https://easyshop-v1.readme.io/reference/organisationscontroller_listorganisations"
"","","","Pagination","Pagination","https://easyshop-v1.readme.io/reference/pagination"
"Applications","","","Pos - Orders","Pos - Orders","https://easyshop-v1.readme.io/reference/pos-orders"
"","GET","","Get a PoS by its id","Get a PoS by its id get","https://easyshop-v1.readme.io/reference/poscontroller_get"
"","","","List all the PoS you have access to","Pos","https://easyshop-v1.readme.io/reference/poscontroller_listpos"
"Customers","","","Price lists","Price lists","https://easyshop-v1.readme.io/reference/price-lists"
"Applications","","","Fetch the click and collect app from a domain","Stores - Website","https://easyshop-v1.readme.io/reference/publicapiwebsitecontroller_getwebsitefromdomain"
"Customers","","","Sales & Register shifts","Sales & Register shifts","https://easyshop-v1.readme.io/reference/sales"
"Customers","GET","","Fetch a sale of a store by its id","Fetch a sale of a store by its id get","https://easyshop-v1.readme.io/reference/salescontroller_get"
"Customers","GET","","List of store sales for a given register shift","List of store sales for a given register shift get","https://easyshop-v1.readme.io/reference/salescontroller_getforshift"
"Customers","GET","","List of register shifts for a given time period","List of register shifts for a given time period get","https://easyshop-v1.readme.io/reference/salescontroller_getshifts"
"Customers","GET","","List of all store sales","List of all store sales get","https://easyshop-v1.readme.io/reference/salescontroller_list"
"Customers","GET","","Fetch the seating plan of a store","Fetch the seating plan of a store get","https://easyshop-v1.readme.io/reference/seatingplancontroller_get"
"Customers","POST","","Create a new room in the seating plan","Create a new room in the seating plan post","https://easyshop-v1.readme.io/reference/seatingplanroomscontroller_createroom"
"Customers","DELETE","","Delete a room of the seating plan","Delete a room of the seating plan del","https://easyshop-v1.readme.io/reference/seatingplanroomscontroller_deleteroom"
"Customers","PUT","","Edit a room of the seating plan","Edit a room of the seating plan put","https://easyshop-v1.readme.io/reference/seatingplanroomscontroller_editroom"
"Customers","GET","","Fetch a room of the seating plan","Fetch a room of the seating plan get","https://easyshop-v1.readme.io/reference/seatingplanroomscontroller_getroom"
"Customers","POST","","Create a table in a room","Create a table in a room post","https://easyshop-v1.readme.io/reference/seatingplantablescontroller_createtable"
"Customers","DELETE","","Delete a table of a room","Delete a table of a room del","https://easyshop-v1.readme.io/reference/seatingplantablescontroller_deletetable"
"Customers","PUT","","Edit a table of a room","Edit a table of a room put","https://easyshop-v1.readme.io/reference/seatingplantablescontroller_edittable"
"Customers","GET","","Fetch a table of a room","Fetch a table of a room get","https://easyshop-v1.readme.io/reference/seatingplantablescontroller_gettable"
"Customers","GET","","List of the items in the current store stock","List of the items in the current store stock get","https://easyshop-v1.readme.io/reference/stockscontroller_get"
"Applications","","","Stores - Customer Loyalty","Stores - Customer Loyalty","https://easyshop-v1.readme.io/reference/stores-customer-loyalty"
"Applications","","","Stores - Customer Sales","Stores - Customer Sales","https://easyshop-v1.readme.io/reference/stores-customer-sales"
"Applications","","","Stores - Customers","Stores - Customers","https://easyshop-v1.readme.io/reference/stores-customers"
"Applications","","","Stores - Opening Hours","Stores - Opening Hours","https://easyshop-v1.readme.io/reference/stores-opening-hours"
"Applications","","","Stores - Orders","Stores - Orders","https://easyshop-v1.readme.io/reference/stores-orders"
"Applications","","","Stores - Sales","Stores - Sales","https://easyshop-v1.readme.io/reference/stores-sales"
